"file path","file size","chunk size","chunks",mime
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/thread0.zip",322469174,4096,78728,"application/zip"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/909/909820.pdf",291569,4096,72,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/135/135778.pdf",14013,4096,4,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/135/135495.html",18127,4096,5,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/307/307579.txt",8053,4096,2,"text/plain"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/763/763413.jpg",1602,4096,1,"image/jpeg"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/338/338347.doc",53248,4096,13,"application/msword"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/556/556176.xml",1190907,4096,291,"text/xml"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/300/300839.ppt",745984,4096,183,"application/vnd.ms-powerpoint"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/132/132890.html",22933,4096,6,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/569/569206.txt",14038,4096,4,"text/plain"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/938/938633.gif",801706,4096,196,"image/gif"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/938/938640.gif",771493,4096,189,"image/gif"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/560/560098.html",162258,4096,40,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/752/752107.doc",33792,4096,9,"application/msword"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/594/594891.xml",2364,4096,1,"text/xml"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/907/907367.pdf",22074,4096,6,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/309/309483.pdf",45593,4096,12,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/309/309622.pdf",26534,4096,7,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/799/799816.pdf",51901,4096,13,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/799/799188.html",48874,4096,12,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/593/593689.csv",33130,4096,9,"text/csv"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/593/593647.html",6045,4096,2,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/755/755100.gif",4853,4096,2,"image/gif"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/567/567674.pdf",101677,4096,25,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/567/567030.xml",25606,4096,7,"text/xml"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/567/567827.html",37820,4096,10,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/103/103224.ppt",582144,4096,143,"application/vnd.ms-powerpoint"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/103/103568.pdf",383779,4096,94,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/331/331292.pdf",104315,4096,26,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/331/331933.pdf",397243,4096,97,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/900/900588.pdf",101406,4096,25,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/558/558452.html",18395,4096,5,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/558/558068.html",24652,4096,7,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/391/391517.pdf",378181,4096,93,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/533/533233.doc",142848,4096,35,"application/msword"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/365/365370.xml",20857,4096,6,"text/xml"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/365/365885.txt",6223,4096,2,"text/plain"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/157/157646.html",6455,4096,2,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/157/157581.doc",173056,4096,43,"application/msword"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/739/739193.pdf",142665,4096,35,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/953/953808.pdf",523912,4096,128,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/150/150311.pdf",112152,4096,28,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/150/150045.html",11464,4096,3,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/362/362295.html",140360,4096,35,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/362/362088.pdf",3555072,4096,868,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/706/706281.jpg",6417,4096,2,"image/jpeg"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/706/706047.pdf",93286,4096,23,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/534/534396.pdf",1338297,4096,327,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/998/998651.gz",283240,4096,70,"None"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/396/396901.html",5344,4096,2,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/965/965664.xml",2094,4096,1,"text/xml"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/991/991080.xls",20992,4096,6,"application/vnd.ms-excel"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/991/991739.pdf",2976876,4096,727,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/166/166206.pdf",1637615,4096,400,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/354/354820.doc",1068032,4096,261,"application/msword"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/354/354930.doc",399360,4096,98,"application/msword"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/192/192476.html",124809,4096,31,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/996/996339.pdf",1042238,4096,255,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/708/708605.ps",353607,4096,87,"application/postscript"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/708/708988.doc",33792,4096,9,"application/msword"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/962/962866.pdf",4264,4096,2,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/962/962797.gif",129402,4096,32,"image/gif"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/195/195876.txt",1195,4096,1,"text/plain"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/195/195828.pdf",2015659,4096,493,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/737/737518.html",11445,4096,3,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/566/566874.html",35911,4096,9,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/566/566082.html",292960,4096,72,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/592/592365.pdf",72181,4096,18,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/901/901409.pdf",502136,4096,123,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/105/105186.pdf",274306,4096,67,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/939/939202.doc",31744,4096,8,"application/msword"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/753/753901.jpg",975094,4096,239,"image/jpeg"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/753/753360.pdf",33945,4096,9,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/561/561054.pdf",4111551,4096,1004,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/561/561649.html",22787,4096,6,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/798/798796.ppt",4540416,4096,1109,"application/vnd.ms-powerpoint"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/308/308180.doc",111616,4096,28,"application/msword"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/308/308941.txt",616364,4096,151,"text/plain"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/308/308633.pdf",4364975,4096,1066,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/308/308432.pdf",45002,4096,11,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/791/791907.html",34867,4096,9,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/791/791639.html",307,4096,1,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/765/765264.jpg",229861,4096,57,"image/jpeg"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/133/133284.pdf",37066,4096,10,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/301/301363.pdf",86049,4096,22,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/301/301340.doc",36352,4096,9,"application/msword"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/301/301809.pdf",126620,4096,31,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/306/306941.jpg",16797,4096,5,"image/jpeg"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/306/306614.html",11154,4096,3,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/306/306344.log",576231,4096,141,"None"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/306/306224.txt",734909,4096,180,"text/plain"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/306/306156.pdf",34483,4096,9,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/908/908132.jpg",2539076,4096,620,"image/jpeg"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/550/550557.html",13138,4096,4,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/550/550321.jpg",30577,4096,8,"image/jpeg"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/762/762075.jpg",569528,4096,140,"image/jpeg"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/762/762462.jpg",87369,4096,22,"image/jpeg"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/796/796793.png",10330,4096,3,"image/png"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/796/796677.html",4694,4096,2,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/937/937571.gif",56931,4096,14,"image/gif"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/339/339222.html",49857,4096,13,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/709/709028.pdf",169095,4096,42,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/963/963649.ppt",171520,4096,42,"application/vnd.ms-powerpoint"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/352/352052.html",55138,4096,14,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/504/504929.gif",82709,4096,21,"image/gif"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/990/990482.html",9987,4096,3,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/964/964564.pdf",1581593,4096,387,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/964/964116.pdf",45995,4096,12,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/193/193300.jpg",691219,4096,169,"image/jpeg"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/503/503430.xls",107008,4096,27,"application/vnd.ms-excel"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/503/503590.pdf",60379,4096,15,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/503/503949.doc",46592,4096,12,"application/msword"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/503/503846.pdf",20672,4096,6,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/355/355116.html",6980,4096,2,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/167/167083.html",32359,4096,8,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/167/167086.doc",2512384,4096,614,"application/msword"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/167/167569.gif",64721,4096,16,"image/gif"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/738/738909.xls",32256,4096,8,"application/vnd.ms-excel"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/397/397625.pdf",660049,4096,162,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/397/397946.html",35108,4096,9,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/397/397022.html",16646,4096,5,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/999/999653.pdf",116356,4096,29,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/999/999354.pdf",369663,4096,91,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/999/999162.pdf",6689,4096,2,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/363/363200.pdf",407945,4096,100,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/363/363751.txt",25233,4096,7,"text/plain"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/151/151955.pdf",18377,4096,5,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/151/151049.txt",10050,4096,3,"text/plain"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/955/955380.pdf",97785,4096,24,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/156/156471.html",43622,4096,11,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/686/686686.jpg",94732,4096,24,"image/jpeg"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/686/686141.ppt",468480,4096,115,"application/vnd.ms-powerpoint"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/686/686107.ps",1294,4096,1,"application/postscript"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/686/686271.xls",28061,4096,7,"application/vnd.ms-excel"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/818/818567.png",2376125,4096,581,"image/png"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/818/818725.html",15249,4096,4,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/818/818838.html",33994,4096,9,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/216/216937.jpg",85169,4096,21,"image/jpeg"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/672/672102.jpg",319707,4096,79,"image/jpeg"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/440/440419.txt",69069,4096,17,"text/plain"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/229/229887.html",2241,4096,1,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/675/675458.pdf",3115364,4096,761,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/681/681028.pdf",829582,4096,203,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/820/820083.ppt",2251341,4096,550,"application/vnd.ms-powerpoint"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/227/227339.html",274599,4096,68,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/227/227409.pdf",1099323,4096,269,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/227/227831.html",20061,4096,5,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/015/015814.html",14520,4096,4,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/471/471085.pdf",169245,4096,42,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/471/471476.ps",140337,4096,35,"application/postscript"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/471/471869.html",38304,4096,10,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/816/816545.pdf",41171,4096,11,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/218/218153.html",40827,4096,10,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/218/218817.pdf",237824,4096,59,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/688/688185.ppt",353280,4096,87,"application/vnd.ms-powerpoint"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/482/482231.ps",291918,4096,72,"application/postscript"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/644/644535.pdf",351187,4096,86,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/476/476277.csv",2821,4096,1,"text/csv"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/476/476931.pdf",278530,4096,69,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/476/476456.csv",7868,4096,2,"text/csv"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/012/012819.html",110137,4096,27,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/449/449683.html",69303,4096,17,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/079/079385.pdf",1938857,4096,474,"application/pdf"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/422/422297.text",1119744,4096,274,"None"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/610/610685.xls",71680,4096,18,"application/vnd.ms-excel"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/610/610622.html",27407,4096,7,"text/html"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/610/610693.txt",801738,4096,196,"text/plain"
"/Users/alexgustafsson/Documents/GitHub/compdec/data/dataset/610/610569.html",350008,4096,86,"text/html"
